날짜,기사제목
 2023.06.08 11:01,"포스코인터내셔널 ""현대차에 전기차 구동모터코아 685만대 공급"""
 2023.06.08 10:59,"포스코인터, 현대차에 친환경차 부품 공급…10년간 685만대"
 2023.06.08 10:57,"포스코인터, 현대차에 친환경차 구동모터코아 250만대 공급"
 2023.06.08 10:23,"포스코인터, 현대차 차세대 전기차 플랫폼에 구동모터코아 공급"
 2023.06.08 10:17,"포스코인터, 현대차 최고급 플래그십 전기차에 250만대 구동모터코아 ..."
 2023.06.08 10:14,"포스코인터, 현대차 최고급 전기차 '250만대' 구동모터코아 공급"
 2023.06.08 14:19,[오늘의 그래픽]지난해 고용창출 1위 현대차 '1.4만명'
 2023.06.08 14:14,"[주가동향] 현대차證 ""포스코홀딩스, 2분기 영업익 1.3조원 전망"""
 2023.06.08 12:51,"포스코인터, 현대차에 친환경차 구동모터코아 250만대 공급"
 2023.06.08 11:52,"포스코인터, 현대차에 ‘구동모터코아’ 250만대 추가 공급"
 2023.06.08 10:52,"[특징주] 포스코인터내셔널, 현대차 공급 계약·하반기 실적 기대감에 ..."
 2023.06.08 11:51,"포스코인터, 2034년까지 현대차에 구동모터코아 685만대 공급"
 2023.06.08 11:10,"포스코인터, 현대차에 685만대 구동모터코아 공급"
 2023.06.08 10:13,"포스코인터, 현대차 구동모터코아 685만대 공급계약"
 2023.06.08 11:05,"'삼성 AP 특화 파트너'... 코아시아, 삼성전자의 현대차 AP 최초..."
 2023.06.08 11:05,작년 일자리王 현대차그룹 따라잡는 ‘KG그룹’
 2023.06.08 11:01,"대기업 고용 2.5% 증가…""현대차, 직원 1만명 늘렸다"""
 2023.06.08 11:01,"현대차·삼성·SK, 불황에도 작년 고용 늘렸다"
 2023.06.08 11:00,지난해 고용창출 1위 현대차 '1.4만명'…쿠팡은 2만명 사라졌다
 2023.06.08 11:00,82개 그룹 직원 1년새 4만3천명 증가…현대차그룹 1만4천명↑
 2023.06.08 10:28,'현대차 포니 구경오세요'
 2023.06.08 10:28,'이게 바로 현대차 포니'
 2023.06.08 10:28,'이게 바로 현대차 포니'
 2023.06.08 10:27,'현대차의 과거와 미래를 볼 수 있어요'
 2023.06.08 11:05,작년 일자리王 현대차그룹 따라잡는 ‘KG그룹’
 2023.06.08 11:01,"대기업 고용 2.5% 증가…""현대차, 직원 1만명 늘렸다"""
 2023.06.08 11:01,"현대차·삼성·SK, 불황에도 작년 고용 늘렸다"
 2023.06.08 11:00,지난해 고용창출 1위 현대차 '1.4만명'…쿠팡은 2만명 사라졌다
 2023.06.08 11:01,"포스코인터내셔널 ""현대차에 전기차 구동모터코아 685만대 공급"""
 2023.06.08 10:59,"포스코인터, 현대차에 친환경차 부품 공급…10년간 685만대"
 2023.06.08 10:57,"포스코인터, 현대차에 친환경차 구동모터코아 250만대 공급"
 2023.06.08 10:23,"포스코인터, 현대차 차세대 전기차 플랫폼에 구동모터코아 공급"
 2023.06.08 10:17,"포스코인터, 현대차 최고급 플래그십 전기차에 250만대 구동모터코아 ..."
 2023.06.08 10:14,"포스코인터, 현대차 최고급 전기차 '250만대' 구동모터코아 공급"
 2023.06.08 11:00,82개 그룹 직원 1년새 4만3천명 증가…현대차그룹 1만4천명↑
 2023.06.08 10:52,"[특징주] 포스코인터내셔널, 현대차 공급 계약·하반기 실적 기대감에 5..."
 2023.06.08 10:28,'현대차 포니 구경오세요'
 2023.06.08 10:28,'이게 바로 현대차 포니'
 2023.06.08 10:28,'이게 바로 현대차 포니'
 2023.06.08 10:27,'현대차의 과거와 미래를 볼 수 있어요'
 2023.06.08 10:28,[단독] 현대차 턱밑 추격하는 쿠팡…올해 고용 증가 '1위'
 2023.06.08 10:13,"포스코인터, 현대차 구동모터코아 685만대 공급계약"
 2023.06.08 09:47,"정의선 ""포니가 오늘날 현대차 만들었다""...포니 주역 총출동 [현대차..."
 2023.06.08 09:31,"'국내 최초' 포니 전시회…정의선 회장 ""오늘날 현대차의 근간"""
 2023.06.08 09:26,"""모빌리티는 현대차만의 고유한 DNA"" 직원 독려한 정의선 회장"
 2023.06.08 08:28,"[현장] 정의선 회장, ""포니는 현대차의 정신적·경험적 자산"""
 2023.06.08 08:20,현대차는 어떻게 완성차 3위에 올랐나…'포니의 시간' 전시동영상기사
 2023.06.08 08:01,아빠 추억 돋는 현대차 ‘포니’...이 차가 왜 중요한가요[가봤어요]
 2023.06.08 08:55,"현대자동차, '포니의 시간' 전시 개최"
 2023.06.08 08:54,"현대자동차, '포니의 시간' 전시 개최"
 2023.06.08 08:53,"현대자동차, 현대모터스튜디오 서울서 '포니의 시간' 전시 개최"
 2023.06.08 08:53,"현대자동차, 현대모터스튜디오 서울서 '포니의 시간' 전시 개최"
 2023.06.08 08:32,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:32,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:31,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 10:28,[단독] 현대차 턱밑 추격하는 쿠팡…올해 고용 증가 '1위'
 2023.06.08 10:28,'이게 바로 현대차 포니'
 2023.06.08 10:28,'이게 바로 현대차 포니'
 2023.06.08 10:27,'현대차의 과거와 미래를 볼 수 있어요'
 2023.06.08 10:23,"포스코인터, 현대차 차세대 전기차 플랫폼에 구동모터코아 공급"
 2023.06.08 10:17,"포스코인터, 현대차 최고급 플래그십 전기차에 250만대 구동모터코아 ..."
 2023.06.08 10:14,"포스코인터, 현대차 최고급 전기차 '250만대' 구동모터코아 공급"
 2023.06.08 10:13,"포스코인터, 현대차 구동모터코아 685만대 공급계약"
 2023.06.08 09:47,"정의선 ""포니가 오늘날 현대차 만들었다""...포니 주역 총출동 [현대차..."
 2023.06.08 09:31,"'국내 최초' 포니 전시회…정의선 회장 ""오늘날 현대차의 근간"""
 2023.06.08 09:26,"""모빌리티는 현대차만의 고유한 DNA"" 직원 독려한 정의선 회장"
 2023.06.08 08:28,"[현장] 정의선 회장, ""포니는 현대차의 정신적·경험적 자산"""
 2023.06.08 08:20,현대차는 어떻게 완성차 3위에 올랐나…'포니의 시간' 전시동영상기사
 2023.06.08 08:01,아빠 추억 돋는 현대차 ‘포니’...이 차가 왜 중요한가요[가봤어요]
 2023.06.08 08:55,"현대자동차, '포니의 시간' 전시 개최"
 2023.06.08 08:54,"현대자동차, '포니의 시간' 전시 개최"
 2023.06.08 08:53,"현대자동차, 현대모터스튜디오 서울서 '포니의 시간' 전시 개최"
 2023.06.08 08:53,"현대자동차, 현대모터스튜디오 서울서 '포니의 시간' 전시 개최"
 2023.06.08 08:32,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:32,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:31,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:53,"현대자동차, '리트레이스 시리즈(RETRACE Series)' 출간"
 2023.06.08 08:31,발표하는 장재훈 현대차 사장
 2023.06.08 08:13,"""먼 훗날 선진국될 대한민국 위해""…정의선 울린 현대차 선배들"
 2023.06.08 09:26,"""모빌리티는 현대차만의 고유한 DNA"" 직원 독려한 정의선 회장"
 2023.06.08 08:28,"[현장] 정의선 회장, ""포니는 현대차의 정신적·경험적 자산"""
 2023.06.08 08:20,현대차는 어떻게 완성차 3위에 올랐나…'포니의 시간' 전시동영상기사
 2023.06.08 08:01,아빠 추억 돋는 현대차 ‘포니’...이 차가 왜 중요한가요[가봤어요]
 2023.06.08 08:55,"현대자동차, '포니의 시간' 전시 개최"
 2023.06.08 08:54,"현대자동차, '포니의 시간' 전시 개최"
 2023.06.08 08:53,"현대자동차, 현대모터스튜디오 서울서 '포니의 시간' 전시 개최"
 2023.06.08 08:53,"현대자동차, 현대모터스튜디오 서울서 '포니의 시간' 전시 개최"
 2023.06.08 08:32,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:32,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:31,"현대자동차, 포니의 시간 전시 개최"
 2023.06.08 08:53,"현대자동차, '리트레이스 시리즈(RETRACE Series)' 출간"
 2023.06.08 08:31,발표하는 장재훈 현대차 사장
 2023.06.08 08:13,"""먼 훗날 선진국될 대한민국 위해""…정의선 울린 현대차 선배들"
 2023.06.08 07:01,'미래차' 선점에 삼성·현대차 연합 떴다…車 두뇌 첫 공급에 쏠린 눈 ...
 2023.06.08 06:31,"""아반떼 웃고, 코나 울었다""...현대차 신차, 엇갈린 희비"
 2023.06.07 19:42,이재용 회장이 직접 운전대 잡더니…삼성과 협력 속도내는 현대차
 2023.06.07 17:25,전기차 시대에 … 삼성·현대차 반도체 협업
 2023.06.07 18:35,"삼성전자, 현대차에 '車 두뇌칩' 첫 공급…185조 시장 노린다"
 2023.06.07 16:08,"""미래차 시장 공략"" 삼성, 현대차와 車인포테인먼트 첫 협력(종합)"
 2023.06.07 18:23,2026년부터 현대차 수소버스 1300대 서울시내 달린다
 2023.06.08 08:28,"[현장] 정의선 회장, ""포니는 현대차의 정신적·경험적 자산"""
 2023.06.08 08:20,현대차는 어떻게 완성차 3위에 올랐나…'포니의 시간' 전시동영상기사
 2023.06.08 08:01,아빠 추억 돋는 현대차 ‘포니’...이 차가 왜 중요한가요[가봤어요]
 2023.06.08 08:13,"""먼 훗날 선진국될 대한민국 위해""…정의선 울린 현대차 선배들"
 2023.06.08 07:01,'미래차' 선점에 삼성·현대차 연합 떴다…車 두뇌 첫 공급에 쏠린 눈 ...
 2023.06.08 06:31,"""아반떼 웃고, 코나 울었다""...현대차 신차, 엇갈린 희비"
 2023.06.07 19:42,이재용 회장이 직접 운전대 잡더니…삼성과 협력 속도내는 현대차
 2023.06.07 17:25,전기차 시대에 … 삼성·현대차 반도체 협업
 2023.06.07 18:35,"삼성전자, 현대차에 '車 두뇌칩' 첫 공급…185조 시장 노린다"
 2023.06.07 16:08,"""미래차 시장 공략"" 삼성, 현대차와 車인포테인먼트 첫 협력(종합)"
 2023.06.07 18:23,2026년부터 현대차 수소버스 1300대 서울시내 달린다
 2023.06.07 18:23,현대차·SK온 美 배터리공장 보조금 9000억 받는다
 2023.06.07 18:16,"현대차에 삼성전자 '최첨단 두뇌' 심는다 [삼성-현대차, 모빌리티 반도..."
 2023.06.07 18:10,"현대차그룹 前 임원들 ""수십년 쌓은 경험과 노하우 책으로 남기겠다"""
 2023.06.07 18:16,"현대차에 삼성전자 '최첨단 두뇌' 심는다 [삼성-현대차, 모빌리티 반도..."
 2023.06.07 18:10,"현대차그룹 前 임원들 ""수십년 쌓은 경험과 노하우 책으로 남기겠다"""
 2023.06.07 18:08,"삼성 반도체, 현대차에 탑재…이재용·정의선 '미래차 동맹' 성사"
 2023.06.07 18:00,"이재용-정의선, 3년전 의기투합… '미래차 경쟁력 강화' 결실 [삼성..."
 2023.06.07 17:58,"""수입차 말고 국산차 살까?""…현대차 그랜저, 54만원 싸진다"
 2023.06.07 17:57,삼성 '최첨단 칩' 단 현대차 2025년 출격
 2023.06.07 17:43,車반도체 고객 늘린 삼성…현대차도 수급 안정 '윈윈'
 2023.06.07 17:28,"삼성전자, 현대차와 차량용 인포테인먼트 분야 첫 협력"
 2023.06.07 17:25,전기차 시대에 … 삼성·현대차 반도체 협업
 2023.06.07 16:28,"현대차·SK E&S, 수소버스 보급 앞장선다"
 2023.06.07 15:47,현대차 수소버스 1300대 서울시내 달린다...SK E&S는 수소공급
 2023.06.07 14:24,SK·현대차·서울시 맞손..'서울-공항노선' 전량 수소버스 전환한다
 2023.06.07 16:24,"이재용·정의선 손잡았다…삼성전자 車반도체, 현대차에 탑재"
 2023.06.07 14:43,아우디·폭스바겐서 검증한 삼성의 엑시노스 현대차에도 탑재(종합)
 2023.06.07 13:50,"삼성전자, 현대차와 車 인포테인먼트 분야 첫 협력"
 2023.06.07 13:31,삼성 엑시노스 2025년 현대차에 공급…차량용 인포테인먼트 첫 협력
 2023.06.07 11:42,"삼성전자, 현대자동차와 차량용 인포테인먼트 분야 첫 협력"
 2023.06.07 11:38,"삼성전자, 현대차와 차량용 인포테인먼트 분야서 '첫 협력'"
 2023.06.07 11:31,"삼성전자, 현대차와 차량용 인포테인먼트 분야 첫 협력"
 2023.06.07 11:23,2배 빨라진 삼성전자 GPU가 현대車에…인포테인먼트 첫 협력
 2023.06.07 11:21,"삼성전자, 현대차와 손 잡았다…차량용 인포테인먼트 칩 첫 공급"
 2023.06.07 16:21,"현대차, 인니 전통문양 ‘바틱’ 새긴 한정판 ‘아이오닉5’ 만든다"
 2023.06.07 16:08,"""미래차 시장 공략"" 삼성, 현대차와 車인포테인먼트 첫 협력(종합)"
 2023.06.07 16:24,"이재용·정의선 손잡았다…삼성전자 車반도체, 현대차에 탑재"
 2023.06.07 14:43,아우디·폭스바겐서 검증한 삼성의 엑시노스 현대차에도 탑재(종합)
 2023.06.07 13:50,"삼성전자, 현대차와 車 인포테인먼트 분야 첫 협력"
 2023.06.07 13:31,삼성 엑시노스 2025년 현대차에 공급…차량용 인포테인먼트 첫 협력
 2023.06.07 11:42,"삼성전자, 현대자동차와 차량용 인포테인먼트 분야 첫 협력"
 2023.06.07 11:38,"삼성전자, 현대차와 차량용 인포테인먼트 분야서 '첫 협력'"
 2023.06.07 11:31,"삼성전자, 현대차와 차량용 인포테인먼트 분야 첫 협력"
 2023.06.07 11:23,2배 빨라진 삼성전자 GPU가 현대車에…인포테인먼트 첫 협력
 2023.06.07 11:21,"삼성전자, 현대차와 손 잡았다…차량용 인포테인먼트 칩 첫 공급"
 2023.06.07 16:21,"현대차, 인니 전통문양 ‘바틱’ 새긴 한정판 ‘아이오닉5’ 만든다"
 2023.06.07 16:08,"""미래차 시장 공략"" 삼성, 현대차와 車인포테인먼트 첫 협력(종합)"
 2023.06.07 15:55,"현대차, 서울시·SK와 손잡고 수소버스 보급 확대 나서"
 2023.06.07 14:00,"현대차, 서울시와 손잡고 수소 모빌리티 선도도시 만든다"
 2023.06.07 15:47,현대차 수소버스 1300대 서울시내 달린다...SK E&S는 수소공급
 2023.06.07 14:24,SK·현대차·서울시 맞손..'서울-공항노선' 전량 수소버스 전환한다
 2023.06.07 15:30,"삼성전자, 현대차에 차량용칩 공급…인포테인먼트 분야 첫 협력"
 2023.06.07 11:31,"삼성전자, 현대차와 차량용 인포테인먼트 분야 손잡는다"
 2023.06.07 11:25,"'車 안에서 고성능 게임까지' 삼성전자, 현대차와 첫 협력"
 2023.06.07 11:18,"삼성전자, 현대차에 차량용 칩 공급한다…인포테인먼트 분야 첫 협력"
 2023.06.07 15:00,"현대차·SK온, 美 조지아주에서 9000억원 규모 지원 받는다"
 2023.06.07 10:36,"현대차·SK온 美배터리공장, 조지아주서 9000억원 인센티브 제공"
 2023.06.07 10:34,"현대차-SK온, 美 배터리공장 보조금 9000억원 받는다"
 2023.06.07 10:26,현대차·SK온 美 배터리공장에 조지아주 9000억원 인센티브
 2023.06.07 10:16,"美 조지아주, 현대차-SK온 배터리 공장에 9000억원 혜택"
 2023.06.07 14:44,"현대차, 서울시 시내·공항·통근버스 ‘수소버스’ 전환 앞장"
 2023.06.07 14:01,2026년 서울 도심에 '현대차' 수소버스 1300대 달린다
 2023.06.07 14:01,"현대차, 공항버스 300여대 수소버스로 공급한다"
 2023.06.07 14:30,"훔치기 쉬운 차 팔았다...현대차·기아, 뉴욕시로부터 소송 당해"
 2023.06.07 08:23,"뉴욕시, 현대차·기아 제소…""절도 용이한 차량 판매"""
 2023.06.07 08:17,"뉴욕시, ""차량절도 너무 쉽다"" 현대차·기아에 소송 제기"
 2023.06.07 14:09,"현대차그룹, 외교부 출신 잇단 영입…이유는?"
 2023.06.07 10:21,공무원 영입하는 현대차…김일범 이어 김동조 前청와대 대변인
 2023.06.07 08:40,"현대차, '외교부 출신' 김동조 前 청와대 외신대변인 영입"
 2023.06.07 14:24,SK·현대차·서울시 맞손..'서울-공항노선' 전량 수소버스 전환한다
 2023.06.07 14:09,"현대차그룹, 외교부 출신 잇단 영입…이유는?"
 2023.06.07 10:21,공무원 영입하는 현대차…김일범 이어 김동조 前청와대 대변인
 2023.06.07 08:40,"현대차, '외교부 출신' 김동조 前 청와대 외신대변인 영입"
 2023.06.07 14:01,2026년 서울 도심에 '현대차' 수소버스 1300대 달린다
